url,ip_address,iframes,age,ssl,iframes,blacklisted_words,nameserver,blacklisted_words_count,status_code,length
googleusercontent.com,,0,5248,False,0,,"[ns1.google.com, ns4.google.com, ns3.google.com, ns2.google.com]",0,,21
apple-dns.net,,0,3230,False,0,,,0,,13
nflxso.net,,0,2562,False,0,,,0,,10
trafficmanager.net,,0,6336,False,0,,,0,,18
microsoftonline.com,,0,7570,False,0,,,0,,19
www.youtube.com,142.250.192.46,0,6619,True,0,,,0,200,15
wordpress.org,198.143.164.252,0,7309,True,0,,"[ns4.wordpress.org, ns3.wordpress.org, ns2.wordpress.org, ns1.wordpress.org]",0,,13
twitter.com,104.244.42.193,0,8471,True,0,,,0,,11
cloudapp.net,,0,5350,False,0,,,0,,12
www.coinbase.com,104.18.4.43,0,4290,False,0,,,0,403,16
facebook.com,157.240.16.35,0,9499,True,0,,,0,200,12
www.monday.com,13.35.231.32,0,10118,True,0,,,0,200,14
github.com,20.207.73.82,0,5652,True,0,,,0,200,10
wikipedia.org,103.102.166.224,0,8113,True,0,,,0,200,13
live.com,204.79.197.212,0,10321,True,0,,,0,,8
cloudflare.com,104.16.132.229,0,5155,True,0,,,0,200,14
www.amazon.com,108.158.65.52,0,10378,False,0,,,0,503,14
www.spotify.com,35.186.224.25,0,6187,True,0,,,0,200,15
instagram.com,157.240.242.174,0,6875,True,0,,,0,200,13
bing.com,204.79.197.200,0,9924,False,0,,,0,200,8
edgekey.net,,0,7849,False,0,,"[adns1.akam.net, ns4-66.akam.net, ns7-65.akam.net, ns5-66.akam.net, a6-65.akam.net, a12-65.akam.net, a5-65.akam.net, a16-65.akam.net, a18-65.akam.net, a28-65.akam.net, a13-65.akam.net, ns1-66.akam.net, usw6.akam.net]",0,,11
google.com,142.250.183.174,0,9329,True,0,,,0,,10
doubleclick.net,142.250.183.142,0,9937,True,0,,,0,,15
fastly.net,151.101.1.6,0,4365,True,0,,"[ns3.fastly.net, ns4.fastly.net, ns1.fastly.net, ns2.fastly.net]",0,200,10
t.co,104.244.42.5,0,4723,True,0,,"[a.r06.twtrdns.net, c.r06.twtrdns.net, d.r06.twtrdns.net, a.u06.twtrdns.net, b.u06.twtrdns.net, d.u06.twtrdns.net, c.u06.twtrdns.net, b.r06.twtrdns.net]",0,200,4
vimeo.com,162.159.128.61,0,6681,True,0,,"[ns-682.awsdns-21.net, ns-70.awsdns-08.com, ns-1463.awsdns-54.org, ns-1886.awsdns-43.co.uk]",0,200,9
zoom.us,170.114.52.2,0,7647,True,0,,"[ns-1137.awsdns-14.org, ns-1772.awsdns-29.co.uk, ns-387.awsdns-48.com, ns-888.awsdns-47.net]",0,200,7
office.com,13.107.6.156,0,8747,True,0,,"[ns4-32.azure-dns.info, ns1-32.azure-dns.com, ns3-32.azure-dns.org, ns2-32.azure-dns.net, nse24.o365filtering.com, nse21.o365filtering.com, nse13.o365filtering.com, nse12.o365filtering.com]",0,200,10
googlevideo.com,142.250.183.68,0,7251,False,0,,"[ns1.google.com, ns4.google.com, ns2.google.com, ns3.google.com]",0,200,15
amazon.com,52.94.236.248,0,10378,False,0,,"[ns2.p31.dynect.net, ns3.p31.dynect.net, ns4.p31.dynect.net, pdns1.ultradns.net, pdns6.ultradns.co.uk, ns1.p31.dynect.net]",0,503,10
